,referencing,referenced,total_refs,direct_ref
187,5e07da2914783a21980ecc1cea688d1333e6b6e4,dac6802a44e98485be924ed0f40806b417c64606,3,False
188,5e07da2914783a21980ecc1cea688d1333e6b6e4,17b81e888d4b661be06aec1c382af6fbb018d5c0,2,False
189,5e07da2914783a21980ecc1cea688d1333e6b6e4,375f8727441238fa73aa80f4cab7d7d79207b6b6,2,False
190,5e07da2914783a21980ecc1cea688d1333e6b6e4,12b9019f99a315a137400389ee7c6faa4cceef35,11,False
191,5e07da2914783a21980ecc1cea688d1333e6b6e4,3ae4c114bac244e5f20b9061ada3f4248e815139,4,False
192,5e07da2914783a21980ecc1cea688d1333e6b6e4,8012c4a1e2ca663f1a04e80cbb19631a00cbab27,7,False
193,5e07da2914783a21980ecc1cea688d1333e6b6e4,cbeb58496711887bf563ad7b0a2860fd46bcd725,1,False
194,5e07da2914783a21980ecc1cea688d1333e6b6e4,cda1c82b9d48b5cc94ae5bda33e864d95b3053dd,4,False
195,5e07da2914783a21980ecc1cea688d1333e6b6e4,a98b48c6746c9da9759badfcdf2870bc56697642,5,False
196,5e07da2914783a21980ecc1cea688d1333e6b6e4,605402e235bd62437baf3c9ebefe77fb4d92ee95,9,False
197,5e07da2914783a21980ecc1cea688d1333e6b6e4,be01b49cec664c21e6789cc77d9c836e62cc3b99,6,False
198,5e07da2914783a21980ecc1cea688d1333e6b6e4,89794232987d3973109ba78327a4c989a6e4970b,4,False
199,5e07da2914783a21980ecc1cea688d1333e6b6e4,badb0516cf0ca095c4370a41795323e40e43372c,6,False
200,5e07da2914783a21980ecc1cea688d1333e6b6e4,60944c5243db70a687a320a2622d3bd1610802a8,3,False
201,5e07da2914783a21980ecc1cea688d1333e6b6e4,abbd5229eb8e767ed94f54a5ed35826b0919ced2,2,False
202,5e07da2914783a21980ecc1cea688d1333e6b6e4,dc9047917d1ceb3805d954c73899ddd2d40dd5eb,2,False
203,5e07da2914783a21980ecc1cea688d1333e6b6e4,5c96465c7c5a291b16d134db6bd1dbaa79ad8d1b,3,False
204,5e07da2914783a21980ecc1cea688d1333e6b6e4,cde3aa2ad7b6a74eac778d7f661eafed5564aa9d,2,False
205,587a48cfd5c673dcecaafa11068867b31379568a,de3a9d49cdb6a32c8bbe7ac183ec53038c532ec0,1,False
206,587a48cfd5c673dcecaafa11068867b31379568a,5761925619fc8060c9af04767d7fe15b1208ebe1,1,False
207,587a48cfd5c673dcecaafa11068867b31379568a,0b791cb3bc997e1a1d77eab1c9043367fd5e406e,1,False
208,587a48cfd5c673dcecaafa11068867b31379568a,fef9df315ee48d5ab35c0d9b70acd4f73cb2780b,1,False
209,587a48cfd5c673dcecaafa11068867b31379568a,9fcaffc3279c4da55449cc0e0040ab665a969835,1,False
210,587a48cfd5c673dcecaafa11068867b31379568a,fa288d678eadea400306a05b580ba8eb5f46c2fe,1,False
211,587a48cfd5c673dcecaafa11068867b31379568a,f59c657f15670dbe974f6da59a070952ab566961,1,False
212,587a48cfd5c673dcecaafa11068867b31379568a,d5ab403c6e979299ad250956f11c2e5d925830a1,1,False
213,587a48cfd5c673dcecaafa11068867b31379568a,e62f4f3ce430e1880a0a1021d21a2b3fa9714d39,1,False
214,587a48cfd5c673dcecaafa11068867b31379568a,5b46bb862ffa6d336dff12b50f0ef68b012fd935,1,False
215,587a48cfd5c673dcecaafa11068867b31379568a,5bd4670de799db5b0650a3c8a7089786164351cc,1,False
216,587a48cfd5c673dcecaafa11068867b31379568a,0d2f5e67c2f0c683772304d7e050dcc41220aa5b,1,False
217,587a48cfd5c673dcecaafa11068867b31379568a,856ecf391baa2941c06f69b0c5a16a4fb454b7f6,1,False
218,587a48cfd5c673dcecaafa11068867b31379568a,63813a464f42a2ada24cf05ced9b50f59735be25,1,False
219,587a48cfd5c673dcecaafa11068867b31379568a,f4f81500994bb71acc21d83780bd39f3cd753cfb,1,False
220,587a48cfd5c673dcecaafa11068867b31379568a,8e821bb521ef8d760f4ac6150f0564eec2d2acfd,1,False
221,587a48cfd5c673dcecaafa11068867b31379568a,d0807c9d445e4bc4878c24768b3b72a7dd982608,1,False
222,587a48cfd5c673dcecaafa11068867b31379568a,3f6c74197267fdac9b2bda512e96e8527240e6b1,1,False
223,587a48cfd5c673dcecaafa11068867b31379568a,aabd68f66ec8daa5e98145494bb2421833f6e8ff,1,False
224,587a48cfd5c673dcecaafa11068867b31379568a,171c39e17cdbfb400e72893def2a8e9e84351487,1,False
225,587a48cfd5c673dcecaafa11068867b31379568a,3f7d29d777ec6af398a226371401cf80d6618229,1,False
